set,histogram,bin,pct
VoxBind,ring_size,3,0.0
VoxBind,ring_size,4,0.178
VoxBind,ring_size,5,19.585
VoxBind,ring_size,6,76.999
VoxBind,ring_size,7,0.811
VoxBind,ring_size,8,0.091
VoxBind,ring_size,9,0.023
VoxBind,ring_size,≥10,2.314
VoxBind,rings_per_molecule,0,9.914
VoxBind,rings_per_molecule,1,13.172
VoxBind,rings_per_molecule,2,19.346
VoxBind,rings_per_molecule,3,23.225
VoxBind,rings_per_molecule,4,20.068
VoxBind,rings_per_molecule,5,10.231
VoxBind,rings_per_molecule,6,3.182
VoxBind,rings_per_molecule,7,0.685
VoxBind,rings_per_molecule,≥8,0.177
VoxBind,aromatic_fraction,0.0-0.1,30.971
VoxBind,aromatic_fraction,0.1-0.2,4.133
VoxBind,aromatic_fraction,0.2-0.3,12.665
VoxBind,aromatic_fraction,0.3-0.4,11.486
VoxBind,aromatic_fraction,0.4-0.5,12.994
VoxBind,aromatic_fraction,0.5-0.6,12.082
VoxBind,aromatic_fraction,0.6-0.7,9.407
VoxBind,aromatic_fraction,0.7-0.8,3.892
VoxBind,aromatic_fraction,0.8-0.9,1.711
VoxBind,aromatic_fraction,0.9-1.0,0.659
CoDE,ring_size,3,0.0
CoDE,ring_size,4,0.161
CoDE,ring_size,5,19.047
CoDE,ring_size,6,78.774
CoDE,ring_size,7,0.792
CoDE,ring_size,8,0.055
CoDE,ring_size,9,0.035
CoDE,ring_size,≥10,1.137
CoDE,rings_per_molecule,0,6.567
CoDE,rings_per_molecule,1,9.983
CoDE,rings_per_molecule,2,18.722
CoDE,rings_per_molecule,3,21.174
CoDE,rings_per_molecule,4,21.313
CoDE,rings_per_molecule,5,12.41
CoDE,rings_per_molecule,6,5.728
CoDE,rings_per_molecule,7,2.477
CoDE,rings_per_molecule,≥8,1.626
CoDE,aromatic_fraction,0.0-0.1,25.34
CoDE,aromatic_fraction,0.1-0.2,6.262
CoDE,aromatic_fraction,0.2-0.3,14.162
CoDE,aromatic_fraction,0.3-0.4,14.531
CoDE,aromatic_fraction,0.4-0.5,14.696
CoDE,aromatic_fraction,0.5-0.6,11.762
CoDE,aromatic_fraction,0.6-0.7,7.557
CoDE,aromatic_fraction,0.7-0.8,3.264
CoDE,aromatic_fraction,0.8-0.9,1.753
CoDE,aromatic_fraction,0.9-1.0,0.673
